"lang"
{
"Language"		"ukrainian"
"bastille.TimeToLeave1"		"<clr:205,127,50><B>Бастиль:<B> Час накивати п’ятами."

"[english]bastille.TimeToLeave2"		"<clr:205,127,50><B>Bastille:<B> Time to make an exit."
"bastille.TimeToLeave2"		"<clr:205,127,50><B>Бастиль:<B> Час забиратися."

"[english]bastille.WatchOut0"		"<clr:205,127,50><B>Bastille:<B> Careful."
"bastille.WatchOut0"		"<clr:205,127,50><B>Бастиль:<B> Обережно."

"[english]bastille.WatchOut1"		"<clr:205,127,50><B>Bastille:<B> Look out!"
"bastille.WatchOut1"		"<clr:205,127,50><B>Бастиль:<B> Стережись!"

"[english]bastille.WatchOut2"		"<clr:205,127,50><B>Bastille:<B> Look out!"
"bastille.WatchOut2"		"<clr:205,127,50><B>Бастиль:<B> Стережись!"

"[english]bastille.WatchOut3"		"<clr:205,127,50><B>Bastille:<B> Watch out!"
"bastille.WatchOut3"		"<clr:205,127,50><B>Бастиль:<B> Обережно!"

"[english]bastille.Shieldbug0"		"<clr:205,127,50><B>Bastille:<B> A shield bug!"
"bastille.Shieldbug0"		"<clr:205,127,50><B>Бастиль:<B> Щитовик!"

"[english]bastille.Shieldbug1"		"<clr:205,127,50><B>Bastille:<B> <I>Putain!<I> A shield bug!"
"bastille.Shieldbug1"		"<clr:205,127,50><B>Бастиль:<B> Чорт! Щитовик!"

"[english]bastille.Shieldbug2"		"<clr:205,127,50><B>Bastille:<B> We've got a big one!"
"bastille.Shieldbug2"		"<clr:205,127,50><B>Бастиль:<B> У нас тут здоровенний!"

"[english]bastille.ShieldbugHint0"		"<clr:205,127,50><B>Bastille:<B> Get behind it!"
"bastille.ShieldbugHint0"		"<clr:205,127,50><B>Бастиль:<B> Обходимо його!"

"[english]bastille.ShieldbugHint1"		"<clr:205,127,50><B>Bastille:<B> Ready grenades!"
"bastille.ShieldbugHint1"		"<clr:205,127,50><B>Бастиль:<B> Готуйте гранати!"

"[english]bastille.ShieldbugHint2"		"<clr:205,127,50><B>Bastille:<B> Shoot it in the back."
"bastille.ShieldbugHint2"		"<clr:205,127,50><B>Бастиль:<B> Стріляйте в черево позаду."

"[english]bastille.Parasite0"		"<clr:205,127,50><B>Bastille:<B> Careful, a parasite!"
"bastille.Parasite0"		"<clr:205,127,50><B>Бастиль:<B> Обережно, паразит!"

"[english]bastille.Parasite1"		"<clr:205,127,50><B>Bastille:<B> Look out, parasite!"
"bastille.Parasite1"		"<clr:205,127,50><B>Бастиль:<B> Стережись, паразит!"

"[english]bastille.Parasite2"		"<clr:205,127,50><B>Bastille:<B> Parasite!"
"bastille.Parasite2"		"<clr:205,127,50><B>Бастиль:<B> Паразит!"

"[english]bastille.BeenInfested0"		"<clr:205,127,50><B>Bastille:<B> Argh, get it off!"
"bastille.BeenInfested0"		"<clr:205,127,50><B>Бастиль:<B> А-а-а, зніміть його!"

"[english]bastille.BeenInfested1"		"<clr:205,127,50><B>Bastille:<B> Get it off!"
"bastille.BeenInfested1"		"<clr:205,127,50><B>Бастиль:<B> Зніміть його!"

"[english]bastille.BeenInfested2"		"<clr:205,127,50><B>Bastille:<B> Parasite on me!"
"bastille.BeenInfested2"		"<clr:205,127,50><B>Бастиль:<B> На мені паразит!"

"[english]bastille.SwarmEggs0"		"<clr:205,127,50><B>Bastille:<B> Careful, swarm eggs."
"bastille.SwarmEggs0"		"<clr:205,127,50><B>Бастиль:<B> Обережно, яйця."

"[english]bastille.SwarmEggs1"		"<clr:205,127,50><B>Bastille:<B> Swarm eggs."
"bastille.SwarmEggs1"		"<clr:205,127,50><B>Бастиль:<B> Яйця рою."

"[english]bastille.SwarmEggs2"		"<clr:205,127,50><B>Bastille:<B> Swarm eggs, take them out."
"bastille.SwarmEggs2"		"<clr:205,127,50><B>Бастиль:<B> Яйця, знищіть їх."

"[english]bastille.Grenade0"		"<clr:205,127,50><B>Bastille:<B> Clear."
"bastille.Grenade0"		"<clr:205,127,50><B>Бастиль:<B> Чисто."

"[english]bastille.Grenade1"		"<clr:205,127,50><B>Bastille:<B> Fire in the hole."
"bastille.Grenade1"		"<clr:205,127,50><B>Бастиль:<B> Обережно, граната."

"[english]bastille.Grenade2"		"<clr:205,127,50><B>Bastille:<B> Grenade!"
"bastille.Grenade2"		"<clr:205,127,50><B>Бастиль:<B> Граната!"

"[english]bastille.AlienTooClose0"		"<clr:205,127,50><B>Bastille:<B> Bastard piece of shit!"
"bastille.AlienTooClose0"		"<clr:205,127,50><B>Бастиль:<B> От наволоч!"

"[english]bastille.AlienTooClose1"		"<clr:205,127,50><B>Bastille:<B> Damn this is it!"
"bastille.AlienTooClose1"		"<clr:205,127,50><B>Бастиль:<B> Чорт, почалось!"

"[english]bastille.AlienTooClose2"		"<clr:205,127,50><B>Bastille:<B> Get it off!"
"bastille.AlienTooClose2"		"<clr:205,127,50><B>Бастиль:<B> Заберіть його!"

"[english]bastille.AlienTooClose3"		"<clr:205,127,50><B>Bastille:<B> Get it off me!"
"bastille.AlienTooClose3"		"<clr:205,127,50><B>Бастиль:<B> Заберіть його від мене!"

"[english]bastille.AlienTooClose4"		"<clr:205,127,50><B>Bastille:<B> Kill it!"
"bastille.AlienTooClose4"		"<clr:205,127,50><B>Бастиль:<B> Вбийте його!"

"[english]bastille.AlienTooClose5"		"<clr:205,127,50><B>Bastille:<B> On me!"
"bastille.AlienTooClose5"		"<clr:205,127,50><B>Бастиль:<B> На мені!"

"[english]bastille.MadFiring0"		"<clr:205,127,50><B>Bastille:<B> <I>Putain de merde, saloperie de merde, encule."
"bastille.MadFiring0"		"<clr:205,127,50><B>Bastille:<B> <I>Putain de merde, saloperie de merde, encule."

"[english]bastille.MadFiring1"		"<clr:205,127,50><B>Bastille:<B> Eat this, alien scum!"
"bastille.MadFiring1"		"<clr:205,127,50><B>Бастиль:<B> З’їж це, позаземна гидото!"

"[english]bastille.MadFiring2"		"<clr:205,127,50><B>Bastille:<B> How'd you like a taste of this?"
"bastille.MadFiring2"		"<clr:205,127,50><B>Бастиль:<B> Як це тобі на смак?"

"[english]bastille.BreachedDoor0"		"<clr:205,127,50><B>Bastille:<B> They're through!"
"bastille.BreachedDoor0"		"<clr:205,127,50><B>Бастиль:<B> Вони прориваються!"

"[english]bastille.BreachedDoor1"		"<clr:205,127,50><B>Bastille:<B> They're through the door!"
"bastille.BreachedDoor1"		"<clr:205,127,50><B>Бастиль:<B> Вони прориваються через двері!"

"[english]bastille.BreachedDoor2"		"<clr:205,127,50><B>Bastille:<B> They've breached the door!"
"bastille.BreachedDoor2"		"<clr:205,127,50><B>Бастиль:<B> Вони прорвалися через двері!"

"[english]bastille.BreachedDoor3"		"<clr:205,127,50><B>Bastille:<B> They've breached the door!"
"bastille.BreachedDoor3"		"<clr:205,127,50><B>Бастиль:<B> Вони прорвалися через двері!"

"[english]bastille.MarineDown0"		"<clr:205,127,50><B>Bastille:<B> Marine down!"
"bastille.MarineDown0"		"<clr:205,127,50><B>Бастиль:<B> У нас втрати!"

"[english]bastille.SmallPain0"		"<clr:205,127,50><B>Bastille:<B> [Pain]"
"bastille.SmallPain0"		"<clr:205,127,50><B>Бастиль:<B> [Біль]"

"[english]bastille.SmallPain1"		"<clr:205,127,50><B>Bastille:<B> [Pain]"
"bastille.SmallPain1"		"<clr:205,127,50><B>Бастиль:<B> [Біль]"

"[english]bastille.SmallPain2"		"<clr:205,127,50><B>Bastille:<B> [Pain]"
"bastille.SmallPain2"		"<clr:205,127,50><B>Бастиль:<B> [Біль]"


"[english]bastille.SmallPain3"		"<clr:205,127,50><B>Bastille:<B> [Pain]"
"bastille.SmallPain3"		"<clr:205,127,50><B>Бастиль:<B> [Біль]"

"[english]bastille.SmallPain4"		"<clr:205,127,50><B>Bastille:<B> [Pain]"
"bastille.SmallPain4"		"<clr:205,127,50><B>Бастиль:<B> [Біль]"

"[english]bastille.LargePain0"		"<clr:205,127,50><B>Bastille:<B> [Pain]"
"bastille.LargePain0"		"<clr:205,127,50><B>Бастиль:<B> [Біль]"

"[english]bastille.LargePain1"		"<clr:205,127,50><B>Bastille:<B> [Pain]"
"bastille.LargePain1"		"<clr:205,127,50><B>Бастиль:<B> [Біль]"

"[english]bastille.Dead0"		"<clr:205,127,50><B>Bastille:<B> [Death]"
"bastille.Dead0"		"<clr:205,127,50><B>Бастиль:<B> [Смерть]"

"[english]bastille.Dead1"		"<clr:205,127,50><B>Bastille:<B> [Death]"
"bastille.Dead1"		"<clr:205,127,50><B>Бастиль:<B> [Смерть]"

"[english]bastille.OnFire0"		"<clr:205,127,50><B>Bastille:<B> [Scream]"
"bastille.OnFire0"		"<clr:205,127,50><B>Бастиль:<B> [Крик]"

"[english]bastille.Healing0"		"<clr:205,127,50><B>Bastille:<B> Apply pressure here, it'll stop the bleeding."
"bastille.Healing0"		"<clr:205,127,50><B>Бастиль:<B> Стисни тут, це зупинить кровотечу."

"[english]bastille.Healing1"		"<clr:205,127,50><B>Bastille:<B> Be more careful next time."
"bastille.Healing1"		"<clr:205,127,50><B>Бастиль:<B> Будь обережнішим наступного разу."

"[english]bastille.Healing2"		"<clr:205,127,50><B>Bastille:<B> Don't worry, this'll heal just fine."
"bastille.Healing2"		"<clr:205,127,50><B>Бастиль:<B> Не хвилюйся, усе заживе."

"[english]bastille.Healing3"		"<clr:205,127,50><B>Bastille:<B> Get up, you're not dead."
"bastille.Healing3"		"<clr:205,127,50><B>Бастиль:<B> Вставай, ти не мертвий."

"[english]bastille.Healing4"		"<clr:205,127,50><B>Bastille:<B> That should do till next time."
"bastille.Healing4"		"<clr:205,127,50><B>Бастиль:<B> Піде до наступного разу."

"[english]bastille.Healing5"		"<clr:205,127,50><B>Bastille:<B> Get going, keep it up for another week."
"bastille.Healing5"		"<clr:205,127,50><B>Бастиль:<B> Ходімо, потерпиш до наступного тижня."

"[english]bastille.Healing6"		"<clr:205,127,50><B>Bastille:<B> Okay, you're not dead yet."
"bastille.Healing6"		"<clr:205,127,50><B>Бастиль:<B> Добре, ти ще не мертвий."

"[english]bastille.Healing7"		"<clr:205,127,50><B>Bastille:<B> Well this little scratch ain't that bad."
"bastille.Healing7"		"<clr:205,127,50><B>Бастиль:<B> Це всього лише маленька подряпина."

"[english]bastille.Healing8"		"<clr:205,127,50><B>Bastille:<B> Hold still."
"bastille.Healing8"		"<clr:205,127,50><B>Бастиль:<B> Стій спокійно."

"[english]bastille.Healing9"		"<clr:205,127,50><B>Bastille:<B> Maybe you're dead, but since you hear me..."
"bastille.Healing9"		"<clr:205,127,50><B>Бастиль:<B> Може ти і мертвий, але поки ти мене чуєш…"

"[english]bastille.Healing10"		"<clr:205,127,50><B>Bastille:<B> That should help."
"bastille.Healing10"		"<clr:205,127,50><B>Бастиль:<B> Це має допомогти."

"[english]bastille.Healing11"		"<clr:205,127,50><B>Bastille:<B> There."
"bastille.Healing11"		"<clr:205,127,50><B>Бастиль:<B> Ось тут."

"[english]bastille.Healing12"		"<clr:205,127,50><B>Bastille:<B> There you go, Marine."
"bastille.Healing12"		"<clr:205,127,50><B>Бастиль:<B> Отак, десантнику."

"[english]bastille.Healing13"		"<clr:205,127,50><B>Bastille:<B> Why, you should be dead, but you're not."
"bastille.Healing13"		"<clr:205,127,50><B>Бастиль:<B> Дивно, ти мав би вже померти."

"[english]bastille.Healing14"		"<clr:205,127,50><B>Bastille:<B> You'll live probably."
"bastille.Healing14"		"<clr:205,127,50><B>Бастиль:<B> Швидше за все, ти житимеш."

"[english]bastille.Healing15"		"<clr:205,127,50><B>Bastille:<B> You'll survive, I hope."
"bastille.Healing15"		"<clr:205,127,50><B>Бастиль:<B> Ти виживеш, сподіваюся."

"[english]bastille.Healing16"		"<clr:205,127,50><B>Bastille:<B> You're not dead."
"bastille.Healing16"		"<clr:205,127,50><B>Бастиль:<B> Ти ще живий."

"[english]bastille.Healing17"		"<clr:205,127,50><B>Bastille:<B> You're not dead, bastard."
"bastille.Healing17"		"<clr:205,127,50><B>Бастиль:<B> Ти ще живий, покидьку."

"[english]bastille.Healing18"		"<clr:205,127,50><B>Bastille:<B> You're still alive, well, I think."
"bastille.Healing18"		"<clr:205,127,50><B>Бастиль:<B> Гадаю, ти ще живий."

"[english]bastille.LowOnMeds0"		"<clr:205,127,50><B>Bastille:<B> I'm low on medical supplies."
"bastille.LowOnMeds0"		"<clr:205,127,50><B>Бастиль:<B> У мене мало ліків."

"[english]bastille.NoMeds0"		"<clr:205,127,50><B>Bastille:<B> I'm out of meds."
"bastille.NoMeds0"		"<clr:205,127,50><B>Бастиль:<B> У мене закінчились аптечки."

"[english]bastille.NoMeds1"		"<clr:205,127,50><B>Bastille:<B> No more meds."
"bastille.NoMeds1"		"<clr:205,127,50><B>Бастиль:<B> Аптечок більше немає."

"[english]bastille.NoMeds2"		"<clr:205,127,50><B>Bastille:<B> No more meds, stay sharp, <I>mes amis<I>."
"bastille.NoMeds2"		"<clr:205,127,50><B>Бастиль:<B> Аптечок уже нема, будьте пильні, мез амі."

"[english]bastille.NoMeds3"		"<clr:205,127,50><B>Bastille:<B> Out of meds."
"bastille.NoMeds3"		"<clr:205,127,50><B>Бастиль:<B> Аптечок більше нема."

"[english]bastille.NoMeds4"		"<clr:205,127,50><B>Bastille:<B> Out of meds, watch yourselves."
"bastille.NoMeds4"		"<clr:205,127,50><B>Бастиль:<B> Аптечок більше нема, будьте уважні."

"[english]bastille.NoMeds5"		"<clr:205,127,50><B>Bastille:<B> That's it, no more meds."
"bastille.NoMeds5"		"<clr:205,127,50><B>Бастиль:<B> Це все, аптечок більше нема."

"[english]bastille.NoMeds6"		"<clr:205,127,50><B>Bastille:<B> That's it, no more meds."
"bastille.NoMeds6"		"<clr:205,127,50><B>Бастиль:<B> Це все, аптечок більше нема."

"[english]bastille.ActivateStims0"		"<clr:205,127,50><B>Bastille:<B> Activate stims."
"bastille.ActivateStims0"		"<clr:205,127,50><B>Бастиль:<B> Використай адреналін."

"[english]bastille.ActivateStims1"		"<clr:205,127,50><B>Bastille:<B> Stim now!"
"bastille.ActivateStims1"		"<clr:205,127,50><B>Бастиль:<B> Адреналін, зараз!"

"[english]bastille.Compliments0"		"<clr:205,127,50><B>Bastille:<B> Good kill, mon ami!"
"bastille.Compliments0"		"<clr:205,127,50><B>Бастиль:<B> Гарний постріл, мон амі!"

"[english]bastille.Compliments1"		"<clr:205,127,50><B>Bastille:<B> Leave some for me, eh?"
"bastille.Compliments1"		"<clr:205,127,50><B>Бастиль:<B> Залишиш щось для мене?"

"[english]bastille.Compliments2"		"<clr:205,127,50><B>Bastille:<B> Nice shot!"
"bastille.Compliments2"		"<clr:205,127,50><B>Бастиль:<B> Чудовий постріл!"

"[english]bastille.Selection0"		"<clr:205,127,50><B>Bastille:<B> Bastille ready!"
"bastille.Selection0"		"<clr:205,127,50><B>Бастиль:<B> Готовий!"

"[english]bastille.Selection1"		"<clr:205,127,50><B>Bastille:<B> Commander!"
"bastille.Selection1"		"<clr:205,127,50><B>Бастиль:<B> Командире!"

"[english]bastille.Selection2"		"<clr:205,127,50><B>Bastille:<B> Commander!"
"bastille.Selection2"		"<clr:205,127,50><B>Бастиль:<B> Командире!"

"[english]bastille.Selection3"		"<clr:205,127,50><B>Bastille:<B> Medic reporting."
"bastille.Selection3"		"<clr:205,127,50><B>Бастиль:<B> Медик доповідає."

"[english]bastille.Selection4"		"<clr:205,127,50><B>Bastille:<B> Reporting."
"bastille.Selection4"		"<clr:205,127,50><B>Бастиль:<B> Доповідаю."

// Crash


"[english]crash.SargeIdleReply0"		"<clr:238,180,34><B>Crash:<B> You really know how to make a squad feel safe, Sarge."
"crash.SargeIdleReply0"		"<clr:238,180,34><B>Креш:<B> Ти справді знаєш, що зробити, аби загін почувався у безпеці, сержанте."


"[english]crash.SargeIdleReply1"		"<clr:238,180,34><B>Crash:<B> That mean you wanna go home now, Sarge?"
"crash.SargeIdleReply1"		"<clr:238,180,34><B>Креш:<B> Невже захотів додому, сержанте?"

"[english]crash.SynUpSpotted0"		"<clr:238,180,34><B>Crash:<B> Hey look, they got SynUp Cola, my favorite."
"crash.SynUpSpotted0"		"<clr:238,180,34><B>Креш:<B> О, дивіться, у них є моя улюблена «СинАп-Кола»."

"[english]crash.BigAlienDeadReply0"		"<clr:238,180,34><B>Crash:<B> Reminds me of that last Commander."
"crash.BigAlienDeadReply0"		"<clr:238,180,34><B>Креш:<B> Нагадує мені того останнього командира."

"[english]crash.BigAlienDead0"		"<clr:238,180,34><B>Crash:<B> Is it dead?"
"crash.BigAlienDead0"		"<clr:238,180,34><B>Креш:<B> Воно мертве?"


"[english]crash.CrashComplainReply0"		"<clr:238,180,34><B>Crash:<B> You're not helping!"
"crash.CrashComplainReply0"		"<clr:238,180,34><B>Креш:<B> Ти не допомагаєш!"

"[english]crash.CrashComplain0"		"<clr:238,180,34><B>Crash:<B> I can't stand this place much longer."
"crash.CrashComplain0"		"<clr:238,180,34><B>Креш:<B> Я не можу тут більше бути."

"[english]crash.MedicComplainReply0"		"<clr:238,180,34><B>Crash:<B> Well let's just blame it all on Crash, huh?"
"crash.MedicComplainReply0"		"<clr:238,180,34><B>Креш:<B> Дійсно, чому б не звинуватити у всьому мене?"


"[english]crash.HealingCrashReply0"		"<clr:238,180,34><B>Crash:<B> Don't you believe in painkillers?"
"crash.HealingCrashReply0"		"<clr:238,180,34><B>Креш:<B> Ти не віриш у знеболювальні?"

"[english]crash.TequilaReply0"		"<clr:238,180,34><B>Crash:<B> Ah hell yeah! Liquor and ladies!"
"crash.TequilaReply0"		"<clr:238,180,34><B>Креш:<B> О, чорт забирай, так! Лікер і панянки!"

"[english]crash.CrashIdle0"		"<clr:238,180,34><B>Crash:<B> Does anyone have any idea what we are doing here?"
"crash.CrashIdle0"		"<clr:238,180,34><B>Креш:<B> Хтось взагалі здогадується, що ми тут робимо?"

"[english]crash.InjuredSelection0"		"<clr:238,180,34><B>Crash:<B> Game over, man!"
"crash.InjuredSelection0"		"<clr:238,180,34><B>Креш:<B> Це кінець, хлопче!"

"[english]crash.InjuredSelection1"		"<clr:238,180,34><B>Crash:<B> I didn't sign up for this!"
"crash.InjuredSelection1"		"<clr:238,180,34><B>Креш:<B> Я на це не підписувався!"

"[english]crash.InjuredSelection4"		"<clr:238,180,34><B>Crash:<B> Sigma campaign wasn't this tough."
"crash.InjuredSelection4"		"<clr:238,180,34><B>Креш:<B> Операція на Сіґмі у порівнянні з цим — квіточки."

"[english]crash.SeriousInjuryReply0"		"<clr:238,180,34><B>Crash:<B> Whoo-dee-friggin--OW! God damn!"
"crash.SeriousInjuryReply0"		"<clr:238,180,34><B>Креш:<B> Отримуй сповна! Чорт забирай!"

"[english]crash.StillBreathingReply0"		"<clr:238,180,34><B>Crash:<B> Hell, I been holding my breath since we landed."
"crash.StillBreathingReply0"		"<clr:238,180,34><B>Креш:<B> Чорт, я не можу віддихатися від самого приземлення."

"[english]crash.Use0"		"<clr:238,180,34><B>Crash:<B> I got skills."
"crash.Use0"		"<clr:238,180,34><B>Креш:<B> А я крутий."

"[english]crash.Use1"		"<clr:238,180,34><B>Crash:<B> No problem."
"crash.Use1"		"<clr:238,180,34><B>Креш:<B> Без проблем."

"[english]crash.Use2"		"<clr:238,180,34><B>Crash:<B> Uh huh."
"crash.Use2"		"<clr:238,180,34><B>Креш:<B> Угу."

"[english]crash.Use3"		"<clr:238,180,34><B>Crash:<B> You got it."
"crash.Use3"		"<clr:238,180,34><B>Креш:<B> Як скажеш."

"[english]crash.Idle0"		"<clr:238,180,34><B>Crash:<B> This place is a mess."
"crash.Idle0"		"<clr:238,180,34><B>Креш:<B> Тут усе догори дриґом."

"[english]crash.Idle1"		"<clr:238,180,34><B>Crash:<B> Can we go now? I'm due some more cryosleep."
"crash.Idle1"		"<clr:238,180,34><B>Креш:<B> Може підемо? Мені ще спати в кріокамері."

"[english]crash.Idle2"		"<clr:238,180,34><B>Crash:<B> I'll bet the Command knew this place was crawling."
"crash.Idle2"		"<clr:238,180,34><B>Креш:<B> Закладаюся, командування знало, що це місце розвалюється на шматки."

"[english]crash.Idle3"		"<clr:238,180,34><B>Crash:<B> I shoulda stolen more money to put up with this shit."
"crash.Idle3"		"<clr:238,180,34><B>Креш:<B> Треба було вкрасти більше грошей, щоби не втрапити у це лайно."

"[english]crash.Idle4"		"<clr:238,180,34><B>Crash:<B> I tell you what, you guys are lucky I'm here."
"crash.Idle4"		"<clr:238,180,34><B>Креш:<B> Скажу вам от що, хлопці: вам пощастило, що я з вами."

"[english]crash.Idle5"		"<clr:238,180,34><B>Crash:<B> Wow, this place has seen some action."
"crash.Idle5"		"<clr:238,180,34><B>Креш:<B> Ого, та тут ураган пройшовся."

"[english]crash.FF0"		"<clr:238,180,34><B>Crash:<B> Hey, I'm on your side!"
"crash.FF0"		"<clr:238,180,34><B>Креш:<B> Агов, я ж на твоєму боці!"

"[english]crash.FF1"		"<clr:238,180,34><B>Crash:<B> Watch your fire, damn it!"
"crash.FF1"		"<clr:238,180,34><B>Креш:<B> Дивись куди стріляєш, чорт забирай!"

"[english]crash.FiringAtAlien0"		"<clr:238,180,34><B>Crash:<B> Covering fire!"
"crash.FiringAtAlien0"		"<clr:238,180,34><B>Креш:<B> Прикриваю!"

"[english]crash.FiringAtAlien1"		"<clr:238,180,34><B>Crash:<B> Heads up!"
"crash.FiringAtAlien1"		"<clr:238,180,34><B>Креш:<B> Обережно!"

"[english]crash.FiringAtAlien2"		"<clr:238,180,34><B>Crash:<B> Heads up!"
"crash.FiringAtAlien2"		"<clr:238,180,34><B>Креш:<B> Обережно!"

"[english]crash.FiringAtAlien3"		"<clr:238,180,34><B>Crash:<B> Hostiles!"
"crash.FiringAtAlien3"		"<clr:238,180,34><B>Креш:<B> Вороги!"

"[english]crash.FiringAtAlien4"		"<clr:238,180,34><B>Crash:<B> Incoming!"
"crash.FiringAtAlien4"		"<clr:238,180,34><B>Креш:<B> Наступають!"

"[english]crash.FiringAtAlien5"		"<clr:238,180,34><B>Crash:<B> There's another one!"
"crash.FiringAtAlien5"		"<clr:238,180,34><B>Креш:<B> Он ще один!"

"[english]crash.FiringAtAlien6"		"<clr:238,180,34><B>Crash:<B> There! There!"
"crash.FiringAtAlien6"		"<clr:238,180,34><B>Креш:<B> Там! Там!"

"[english]crash.FiringAtAlien7"		"<clr:238,180,34><B>Crash:<B> You want some?"
"crash.FiringAtAlien7"		"<clr:238,180,34><B>Креш:<B> Хочеш ще?"

"[english]crash.FollowMe0"		"<clr:238,180,34><B>Crash:<B> Follow me."
"crash.FollowMe0"		"<clr:238,180,34><B>Креш:<B> За мною."

"[english]crash.FollowMe1"		"<clr:238,180,34><B>Crash:<B> Let's go."
"crash.FollowMe1"		"<clr:238,180,34><B>Креш:<B> Ходімо."

"[english]crash.HoldPosition0"		"<clr:238,180,34><B>Crash:<B> Hold it."
"crash.HoldPosition0"		"<clr:238,180,34><B>Crash:<B> Займіть позицію."

"[english]crash.HoldPosition1"		"<clr:238,180,34><B>Crash:<B> Hold it."
"crash.HoldPosition1"		"<clr:238,180,34><B>Креш:<B> Займіть позицію."

"[english]crash.HoldPosition2"		"<clr:238,180,34><B>Crash:<B> Wait here."
"crash.HoldPosition2"		"<clr:238,180,34><B>Креш:<B> Чекайте тут."

"[english]crash.NeedAmmo0"		"<clr:238,180,34><B>Crash:<B> More ammo!"
"crash.NeedAmmo0"		"<clr:238,180,34><B>Креш:<B> Ще набої!"

"[english]crash.NeedAmmo1"		"<clr:238,180,34><B>Crash:<B> I need ammo!"
"crash.NeedAmmo1"		"<clr:238,180,34><B>Креш:<B> Мені потрібні набої!"

"[english]crash.NoAmmo0"		"<clr:238,180,34><B>Crash:<B> Out of ammo!"
"crash.NoAmmo0"		"<clr:238,180,34><B>Креш:<B> Я без набоїв!"

"[english]crash.Medic0"		"<clr:238,180,34><B>Crash:<B> Medic!"
"crash.Medic0"		"<clr:238,180,34><B>Креш:<B> Лікаря!"

"[english]crash.Reloading0"		"<clr:238,180,34><B>Crash:<B> Lock and load!"
"crash.Reloading0"		"<clr:238,180,34><B>Креш:<B> Перезаряджаюсь!"

"[english]crash.Reloading1"		"<clr:238,180,34><B>Crash:<B> Reload, cover me!"
"crash.Reloading1"		"<clr:238,180,34><B>Креш:<B> Прикрийте, перезаряджаюсь!"

"[english]crash.Reloading2"		"<clr:238,180,34><B>Crash:<B> Reload!"
"crash.Reloading2"		"<clr:238,180,34><B>Креш:<B> Перезарядка!"

"[english]crash.Reloading3"		"<clr:238,180,34><B>Crash:<B> Reload!"
"crash.Reloading3"		"<clr:238,180,34><B>Креш:<B> Перезарядка!"

"[english]crash.SentryInPlace0"		"<clr:238,180,34><B>Crash:<B> Sentry gun active!"
"crash.SentryInPlace0"		"<clr:238,180,34><B>Креш:<B> Турель активована!"

"[english]crash.SentryInPlace1"		"<clr:238,180,34><B>Crash:<B> Sentry gun active!"
"crash.SentryInPlace1"		"<clr:238,180,34><B>Креш:<B> Турель активована!"

"[english]crash.SentryInPlace2"		"<clr:238,180,34><B>Crash:<B> Sentry's in place."
"crash.SentryInPlace2"		"<clr:238,180,34><B>Креш:<B> Турель на позиції."

"[english]crash.SentryInPlace3"		"<clr:238,180,34><B>Crash:<B> Sentry assembled."
"crash.SentryInPlace3"		"<clr:238,180,34><B>Креш:<B> Турель готова."

"[english]crash.SentryInPlace4"		"<clr:238,180,34><B>Crash:<B> Sentry online."
"crash.SentryInPlace4"		"<clr:238,180,34><B>Креш:<B> Турель активована."

"[english]crash.SentryInPlace5"		"<clr:238,180,34><B>Crash:<B> Sentry's ready to waste some bugs."
"crash.SentryInPlace5"		"<clr:238,180,34><B>Креш:<B> Турель готова потрощити трохи жуків."

"[english]crash.Ammo0"		"<clr:238,180,34><B>Crash:<B> Ammo."
"crash.Ammo0"		"<clr:238,180,34><B>Креш:<B> Набої."

"[english]crash.Medkit0"		"<clr:238,180,34><B>Crash:<B> Medkit."
"crash.Medkit0"		"<clr:238,180,34><B>Креш:<B> Аптечка."

"[english]crash.Thanks0"		"<clr:238,180,34><B>Crash:<B> Thanks."
"crash.Thanks0"		"<clr:238,180,34><B>Креш:<B> Дякую."

"[english]crash.Thanks1"		"<clr:238,180,34><B>Crash:<B> Thank you."
"crash.Thanks1"		"<clr:238,180,34><B>Креш:<B> Дякую."

		"[english]crash.Question0"		"<clr:238,180,34><B>Crash:<B> Huh?"
		"crash.Question0"		"<clr:238,180,34><B>Crash:<B> Huh?"

		"[english]crash.Question1"		"<clr:238,180,34><B>Crash:<B> What?"
		"crash.Question1"		"<clr:238,180,34><B>Crash:<B> What?"

"[english]crash.Question2"		"<clr:238,180,34><B>Crash:<B> What is it?"
"crash.Question2"		"<clr:238,180,34><B>Креш:<B> Що це?"

"[english]crash.CallSarge0"		"<clr:238,180,34><B>Crash:<B> Hey, Sarge."
"crash.CallSarge0"		"<clr:238,180,34><B>Креш:<B> Агов, сержанте."

"[english]crash.CallSarge1"		"<clr:238,180,34><B>Crash:<B> Sarge."
"crash.CallSarge1"		"<clr:238,180,34><B>Креш:<B> Сержанте."

"[english]crash.CallSarge2"		"<clr:238,180,34><B>Crash:<B> Sarge."
"crash.CallSarge2"		"<clr:238,180,34><B>Креш:<B> Сержанте."

"[english]crash.CallJaeger0"		"<clr:238,180,34><B>Crash:<B> Hey, Jaeger."
"crash.CallJaeger0"		"<clr:238,180,34><B>Креш:<B> Агов, Яґере."

