"lang"
{
"Language"		"tchinese"
"bastille.Compliments1"		"<clr:205,127,50>Bastille：能給我留點不，嗯？"
"[english]bastille.Compliments1"		"<clr:205,127,50>Bastille: Leave some for me, eh?"
"bastille.Compliments2"		"<clr:205,127,50>Bastille：漂亮！"
"[english]bastille.Compliments2"		"<clr:205,127,50>Bastille: Nice shot!"
"bastille.Selection0"		"<clr:205,127,50>Bastille：Bastille 準備完畢！"
"[english]bastille.Selection0"		"<clr:205,127,50>Bastille: Bastille ready!"
"bastille.Selection1"		"<clr:205,127,50>Bastille：指揮官！"
"[english]bastille.Selection1"		"<clr:205,127,50>Bastille: Commander!"
"bastille.Selection2"		"<clr:205,127,50>Bastille：是的，指揮官！"
"[english]bastille.Selection2"		"<clr:205,127,50>Bastille: Commander!"
"bastille.Selection3"		"<clr:205,127,50>Bastille：醫生報到。"
"[english]bastille.Selection3"		"<clr:205,127,50>Bastille: Medic reporting."
"bastille.Selection4"		"<clr:205,127,50>Bastille：報到。"
"[english]bastille.Selection4"		"<clr:205,127,50>Bastille: Reporting."
"crash.SargeIdleReply0"		"<clr:238,180,34>Crash：妳真懂得該如何讓大夥們放心，Sarge。"
//Crash
"[english]crash.SargeIdleReply0"		"<clr:238,180,34>Crash: You really know how to make a squad feel safe, Sarge."
"crash.SargeIdleReply1"		"<clr:238,180,34>Crash：那表示妳現在想回家了，Sarge？"
"[english]crash.SargeIdleReply1"		"<clr:238,180,34>Crash: That mean you wanna go home now, Sarge?"
"crash.SynUpSpotted0"		"<clr:238,180,34>Crash：嘿，快看，他們有 SynUp 可樂，我的最愛。"
"[english]crash.SynUpSpotted0"		"<clr:238,180,34>Crash: Hey look, they got SynUp Cola, my favorite."
"crash.BigAlienDeadReply0"		"<clr:238,180,34>Crash：這讓我想起了上一個小隊指揮官。"
"[english]crash.BigAlienDeadReply0"		"<clr:238,180,34>Crash: Reminds me of that last Commander."
"crash.BigAlienDead0"		"<clr:238,180,34>Crash：這東西死了嗎？"
"[english]crash.BigAlienDead0"		"<clr:238,180,34>Crash: Is it dead?"
"crash.CrashComplainReply0"		"<clr:238,180,34>Crash：妳一點忙都幫不上！"
"[english]crash.CrashComplainReply0"		"<clr:238,180,34>Crash: You're not helping!"
"crash.CrashComplain0"		"<clr:238,180,34>Crash：我無法在這裏多待一會了。"
"[english]crash.CrashComplain0"		"<clr:238,180,34>Crash: I can't stand this place much longer."
"crash.MedicComplainReply0"		"<clr:238,180,34>Crash：好吧，就把這些都怪到 Crash 頭上，呃?"
"[english]crash.MedicComplainReply0"		"<clr:238,180,34>Crash: Well let's just blame it all on Crash, huh?"
"crash.HealingCrashReply0"		"<clr:238,180,34>Crash：妳難道信不過止疼藥嗎？"
"[english]crash.HealingCrashReply0"		"<clr:238,180,34>Crash: Don't you believe in painkillers?"
"crash.TequilaReply0"		"<clr:238,180,34>Crash：啊，太棒了！烈酒和小妞！"
"[english]crash.TequilaReply0"		"<clr:238,180,34>Crash: Ah hell yeah! Liquor and ladies!"
"crash.CrashIdle0"		"<clr:238,180,34>Crash：有誰知道我們究竟在這幹嘛？"
"[english]crash.CrashIdle0"		"<clr:238,180,34>Crash: Does anyone have any idea what we are doing here?"
"crash.InjuredSelection0"		"<clr:238,180,34>Crash：遊戲結束，夥計！"
"[english]crash.InjuredSelection0"		"<clr:238,180,34>Crash: Game over, man!"
"crash.InjuredSelection1"		"<clr:238,180,34>Crash：我報名可不是來幹這事的！"
"[english]crash.InjuredSelection1"		"<clr:238,180,34>Crash: I didn't sign up for this!"
"crash.InjuredSelection4"		"<clr:238,180,34>Crash：Sigma 戰役都沒有這麽困難。"
"[english]crash.InjuredSelection4"		"<clr:238,180,34>Crash: Sigma campaign wasn't this tough."
"crash.SeriousInjuryReply0"		"<clr:238,180,34>Crash：Whoo-dee-friggin--OW！真該死！"
"[english]crash.SeriousInjuryReply0"		"<clr:238,180,34>Crash: Whoo-dee-friggin--OW! God damn!"
"crash.StillBreathingReply0"		"<clr:238,180,34>Crash：見鬼，自從我們登陸以後，我就一直在屏住呼吸。"
"[english]crash.StillBreathingReply0"		"<clr:238,180,34>Crash: Hell, I been holding my breath since we landed."
"crash.Use0"		"<clr:238,180,34>Crash：我有能力應付。"
"[english]crash.Use0"		"<clr:238,180,34>Crash: I got skills."
"crash.Use1"		"<clr:238,180,34>Crash：沒問題。"
"[english]crash.Use1"		"<clr:238,180,34>Crash: No problem."
"crash.Use2"		"<clr:238,180,34>Crash：Uh huh。"
"[english]crash.Use2"		"<clr:238,180,34>Crash: Uh huh."
"crash.Use3"		"<clr:238,180,34>Crash：妳辦到了。"
"[english]crash.Use3"		"<clr:238,180,34>Crash: You got it."
"crash.Idle0"		"<clr:238,180,34>Crash：這地方真是亂七八糟。"
"[english]crash.Idle0"		"<clr:238,180,34>Crash: This place is a mess."
"crash.Idle1"		"<clr:238,180,34>Crash：我們能走了嗎？我應該再去進行低溫睡眠。"
"[english]crash.Idle1"		"<clr:238,180,34>Crash: Can we go now? I'm due some more cryosleep."
"crash.Idle2"		"<clr:238,180,34>Crash：我打賭指揮部已經知道這地方完蛋了。"
"[english]crash.Idle2"		"<clr:238,180,34>Crash: I'll bet the Command knew this place was crawling."
"crash.Idle3"		"<clr:238,180,34>Crash：早知道要忍受這玩意，我就多偷些錢出來。"
"[english]crash.Idle3"		"<clr:238,180,34>Crash: I shoulda stolen more money to put up with this shit."
"crash.Idle4"		"<clr:238,180,34>Crash：告訴妳們，妳們很幸運，因為我在這裏。"
"[english]crash.Idle4"		"<clr:238,180,34>Crash: I tell you what, you guys are lucky I'm here."
"crash.Idle5"		"<clr:238,180,34>Crash：Wow，這地方已經被鬧個底朝天了。"
"[english]crash.Idle5"		"<clr:238,180,34>Crash: Wow, this place has seen some action."
"crash.FF0"		"<clr:238,180,34>Crash：嘿，我可是妳這邊的！"
"[english]crash.FF0"		"<clr:238,180,34>Crash: Hey, I'm on your side!"
"crash.FF1"		"<clr:238,180,34>Crash：看清楚妳朝哪裏開槍，可惡！"
"[english]crash.FF1"		"<clr:238,180,34>Crash: Watch your fire, damn it!"
"crash.FiringAtAlien0"		"<clr:238,180,34>Crash：火力掩護！"
"[english]crash.FiringAtAlien0"		"<clr:238,180,34>Crash: Covering fire!"
"crash.FiringAtAlien1"		"<clr:238,180,34>Crash：當心！"
"[english]crash.FiringAtAlien1"		"<clr:238,180,34>Crash: Heads up!"
"crash.FiringAtAlien2"		"<clr:238,180,34>Crash：當心點！"
"[english]crash.FiringAtAlien2"		"<clr:238,180,34>Crash: Heads up!"
"crash.FiringAtAlien3"		"<clr:238,180,34>Crash：敵人出現！"
"[english]crash.FiringAtAlien3"		"<clr:238,180,34>Crash: Hostiles!"
"crash.FiringAtAlien4"		"<clr:238,180,34>Crash：敵人來襲！"
"[english]crash.FiringAtAlien4"		"<clr:238,180,34>Crash: Incoming!"
"crash.FiringAtAlien5"		"<clr:238,180,34>Crash：那邊還有一隻！"
"[english]crash.FiringAtAlien5"		"<clr:238,180,34>Crash: There's another one!"
"crash.FiringAtAlien6"		"<clr:238,180,34>Crash：那裏！在那裏！"
"[english]crash.FiringAtAlien6"		"<clr:238,180,34>Crash: There! There!"
"crash.FiringAtAlien7"		"<clr:238,180,34>Crash：妳想來點嗎？"
"[english]crash.FiringAtAlien7"		"<clr:238,180,34>Crash: You want some?"
"crash.FollowMe0"		"<clr:238,180,34>Crash：跟著我。"
"[english]crash.FollowMe0"		"<clr:238,180,34>Crash: Follow me."
"crash.FollowMe1"		"<clr:238,180,34>Crash：我們走吧。"
"[english]crash.FollowMe1"		"<clr:238,180,34>Crash: Let's go."
"crash.HoldPosition0"		"<clr:238,180,34>Crash：呆在這裏。"
"[english]crash.HoldPosition0"		"<clr:238,180,34>Crash: Hold it."
"crash.HoldPosition1"		"<clr:238,180,34>Crash：原地待命。"
"[english]crash.HoldPosition1"		"<clr:238,180,34>Crash: Hold it."
"crash.HoldPosition2"		"<clr:238,180,34>Crash：在這等等。"
"[english]crash.HoldPosition2"		"<clr:238,180,34>Crash: Wait here."
"crash.NeedAmmo0"		"<clr:238,180,34>Crash：需要些彈藥！"
"[english]crash.NeedAmmo0"		"<clr:238,180,34>Crash: More ammo!"
"crash.NeedAmmo1"		"<clr:238,180,34>Crash：我需要彈藥！"
"[english]crash.NeedAmmo1"		"<clr:238,180,34>Crash: I need ammo!"
"crash.NoAmmo0"		"<clr:238,180,34>Crash：沒有子彈了！"
"[english]crash.NoAmmo0"		"<clr:238,180,34>Crash: Out of ammo!"
"crash.Medic0"		"<clr:238,180,34>Crash：醫生！"
"[english]crash.Medic0"		"<clr:238,180,34>Crash: Medic!"
"crash.Reloading0"		"<clr:238,180,34>Crash：裝彈完畢！"
"[english]crash.Reloading0"		"<clr:238,180,34>Crash: Lock and load!"
"crash.Reloading1"		"<clr:238,180,34>Crash：上子彈，掩護我！"
"[english]crash.Reloading1"		"<clr:238,180,34>Crash: Reload, cover me!"
"crash.Reloading2"		"<clr:238,180,34>Crash：上子彈！"
"[english]crash.Reloading2"		"<clr:238,180,34>Crash: Reload!"
"crash.Reloading3"		"<clr:238,180,34>Crash：我在上子彈！"
"[english]crash.Reloading3"		"<clr:238,180,34>Crash: Reload!"
"crash.SentryInPlace0"		"<clr:238,180,34>Crash：步哨槍啟動！"
"[english]crash.SentryInPlace0"		"<clr:238,180,34>Crash: Sentry gun active!"
"crash.SentryInPlace1"		"<clr:238,180,34>Crash：步哨槍就緒！"
"[english]crash.SentryInPlace1"		"<clr:238,180,34>Crash: Sentry gun active!"
"crash.SentryInPlace2"		"<clr:238,180,34>Crash：步哨就位！"
"[english]crash.SentryInPlace2"		"<clr:238,180,34>Crash: Sentry's in place."
"crash.SentryInPlace3"		"<clr:238,180,34>Crash：步哨組裝完成。"
"[english]crash.SentryInPlace3"		"<clr:238,180,34>Crash: Sentry assembled."
"crash.SentryInPlace4"		"<clr:238,180,34>Crash：步哨就緒。"
"[english]crash.SentryInPlace4"		"<clr:238,180,34>Crash: Sentry online."
"crash.SentryInPlace5"		"<clr:238,180,34>Crash：步哨已經準備好去殺蟲子了。"
"[english]crash.SentryInPlace5"		"<clr:238,180,34>Crash: Sentry's ready to waste some bugs."
"crash.Ammo0"		"<clr:238,180,34>Crash：彈藥。"
"[english]crash.Ammo0"		"<clr:238,180,34>Crash: Ammo."
"crash.Medkit0"		"<clr:238,180,34>Crash：醫藥包。"
"[english]crash.Medkit0"		"<clr:238,180,34>Crash: Medkit."
"crash.Thanks0"		"<clr:238,180,34>Crash：謝了。"
"[english]crash.Thanks0"		"<clr:238,180,34>Crash: Thanks."
"crash.Thanks1"		"<clr:238,180,34>Crash：謝謝妳。"
"[english]crash.Thanks1"		"<clr:238,180,34>Crash: Thank you."
"crash.Question0"		"<clr:238,180,34>Crash："
"[english]crash.Question0"		"<clr:238,180,34>Crash:"
"crash.Question1"		"<clr:238,180,34>Crash：呃？"
"[english]crash.Question1"		"<clr:238,180,34>Crash: Huh?"
"crash.Question2"		"<clr:238,180,34>Crash：什麽事？"
"[english]crash.Question2"		"<clr:238,180,34>Crash: What is it?"
"crash.CallSarge0"		"<clr:238,180,34>Crash：嘿，Sarge。"
"[english]crash.CallSarge0"		"<clr:238,180,34>Crash: Hey, Sarge."
"crash.CallSarge1"		"<clr:238,180,34>Crash：Sarge。"
"[english]crash.CallSarge1"		"<clr:238,180,34>Crash: Sarge."
"crash.CallSarge2"		"<clr:238,180,34>Crash：Sarge。"
"[english]crash.CallSarge2"		"<clr:238,180,34>Crash: Sarge."
"crash.CallJaeger0"		"<clr:238,180,34>Crash：嘿，Jaeger。"
"[english]crash.CallJaeger0"		"<clr:238,180,34>Crash: Hey, Jaeger."
"crash.CallJaeger1"		"<clr:238,180,34>Crash：Jaeger。"
"[english]crash.CallJaeger1"		"<clr:238,180,34>Crash: Jaeger."
"crash.CallJaeger2"		"<clr:238,180,34>Crash：Jaeger。"
"[english]crash.CallJaeger2"		"<clr:238,180,34>Crash: Jaeger."
"crash.CallWildcat0"		"<clr:238,180,34>Crash：嘿，Wildcat。"
"[english]crash.CallWildcat0"		"<clr:238,180,34>Crash: Hey, Wildcat."
"crash.CallWildcat1"		"<clr:238,180,34>Crash：Wildcat。"
"[english]crash.CallWildcat1"		"<clr:238,180,34>Crash: Wildcat."
"crash.CallWolfe0"		"<clr:238,180,34>Crash：嘿，Wolfe。"
"[english]crash.CallWolfe0"		"<clr:238,180,34>Crash: Hey, Wolfe."
"crash.CallWolfe1"		"<clr:238,180,34>Crash：Wolfe。"
"[english]crash.CallWolfe1"		"<clr:238,180,34>Crash: Wolfe."
"crash.CallFaith0"		"<clr:238,180,34>Crash：Faith。"
"[english]crash.CallFaith0"		"<clr:238,180,34>Crash: Faith."
"crash.CallFaith1"		"<clr:238,180,34>Crash：嘿，Faith。"
"[english]crash.CallFaith1"		"<clr:238,180,34>Crash: Hey, Faith."
"crash.CallBastille0"		"<clr:238,180,34>Crash：Bastille。"
"[english]crash.CallBastille0"		"<clr:238,180,34>Crash: Bastille."
"crash.CallBastille1"		"<clr:238,180,34>Crash：嘿， Bastille。"
"[english]crash.CallBastille1"		"<clr:238,180,34>Crash: Hey, Bastille."
"crash.CallFlynn0"		"<clr:238,180,34>Crash：Flynn。"
"[english]crash.CallFlynn0"		"<clr:238,180,34>Crash: Flynn."
"crash.CallFlynn1"		"<clr:238,180,34>Crash：嘿，Flynn。"
"[english]crash.CallFlynn1"		"<clr:238,180,34>Crash: Hey, Flynn."
"crash.CallVegas0"		"<clr:238,180,34>Crash：嘿，Vegas。"
"[english]crash.CallVegas0"		"<clr:238,180,34>Crash: Hey, Vegas."
"crash.CallVegas1"		"<clr:238,180,34>Crash：Vegas。"
"[english]crash.CallVegas1"		"<clr:238,180,34>Crash: Vegas."
"crash.SuppliesAmmo0"		"<clr:238,180,34>Crash：好的，一件補給品。"
"[english]crash.SuppliesAmmo0"		"<clr:238,180,34>Crash: All right, a supply stash."
"crash.SuppliesAmmo1"		"<clr:238,180,34>Crash：看來有人給我們留下了一件禮物。"
"[english]crash.SuppliesAmmo1"		"<clr:238,180,34>Crash: Looks like someone left us a gift."
"crash.SuppliesAmmo2"		"<clr:238,180,34>Crash：噢，太好了，這就是我想看到了。"
"[english]crash.SuppliesAmmo2"		"<clr:238,180,34>Crash: Oh yeah, that's what I like to see."
"crash.Supplies0"		"<clr:238,180,34>Crash：好的，一份補給品。"
"[english]crash.Supplies0"		"<clr:238,180,34>Crash: All right, a supply stash!"
"crash.Supplies1"		"<clr:238,180,34>Crash：看來有人留下了禮物給我們。"
"[english]crash.Supplies1"		"<clr:238,180,34>Crash: Looks like someone left us a gift."
"crash.Supplies2"		"<clr:238,180,34>Crash：噢，妙極了，這就是我想看到的。"
"[english]crash.Supplies2"		"<clr:238,180,34>Crash: Oh yeah, that's what I like to see."
"crash.HoldingPosition0"		"<clr:238,180,34>Crash：我守著這裏。"
"[english]crash.HoldingPosition0"		"<clr:238,180,34>Crash: Covering area."
"crash.HoldingPosition1"		"<clr:238,180,34>Crash：我守著這個位置。"
"[english]crash.HoldingPosition1"		"<clr:238,180,34>Crash: Holding position."
"crash.HoldingPosition2"		"<clr:238,180,34>Crash：我已就位。"
"[english]crash.HoldingPosition2"		"<clr:238,180,34>Crash: In position."
"crash.HoldingPosition3"		"<clr:238,180,34>Crash：正在防守這片區域。"
"[english]crash.HoldingPosition3"		"<clr:238,180,34>Crash: Securing area."
"crash.HoldingNorth0"		"<clr:238,180,34>Crash：防守北邊。"
"[english]crash.HoldingNorth0"		"<clr:238,180,34>Crash: Covering north."
"crash.HoldingNorth1"		"<clr:238,180,34>Crash：正在防守北側。"
"[english]crash.HoldingNorth1"		"<clr:238,180,34>Crash: Covering northside."
"crash.HoldingNorth2"		"<clr:238,180,34>Crash：北側就定位。"
"[english]crash.HoldingNorth2"		"<clr:238,180,34>Crash: Northside, in position."
"crash.HoldingNorth3"		"<clr:238,180,34>Crash：北側，準備完畢。"
"[english]crash.HoldingNorth3"		"<clr:238,180,34>Crash: Northside, standing to."
"crash.HoldingSouth0"		"<clr:238,180,34>Crash：正在防守南邊。"
"[english]crash.HoldingSouth0"		"<clr:238,180,34>Crash: Covering south."
"crash.HoldingSouth1"		"<clr:238,180,34>Crash：防守南側。"
"[english]crash.HoldingSouth1"		"<clr:238,180,34>Crash: Covering southside."
"crash.HoldingSouth2"		"<clr:238,180,34>Crash：南側已經就位。"
"[english]crash.HoldingSouth2"		"<clr:238,180,34>Crash: Southside in position."
"crash.HoldingEast0"		"<clr:238,180,34>Crash：正在防守東邊。"
"[english]crash.HoldingEast0"		"<clr:238,180,34>Crash: Covering east."
"crash.HoldingEast1"		"<clr:238,180,34>Crash：正在防守東側。"
"[english]crash.HoldingEast1"		"<clr:238,180,34>Crash: Covering eastside."
"crash.HoldingEast2"		"<clr:238,180,34>Crash：東側已就位。"
"[english]crash.HoldingEast2"		"<clr:238,180,34>Crash: Eastside in position."
"crash.HoldingEast3"		"<clr:238,180,34>Crash：東側，準備完畢。"
"[english]crash.HoldingEast3"		"<clr:238,180,34>Crash: Eastside, standing to."
"crash.HoldingWest0"		"<clr:238,180,34>Crash：我在防守西邊。"
"[english]crash.HoldingWest0"		"<clr:238,180,34>Crash: Covering west."
"crash.HoldingWest1"		"<clr:238,180,34>Crash：我在防守西側。"
"[english]crash.HoldingWest1"		"<clr:238,180,34>Crash: Covering westside."
"crash.HoldingWest2"		"<clr:238,180,34>Crash：西側，我已就位。"
"[english]crash.HoldingWest2"		"<clr:238,180,34>Crash: Westside in position."
"crash.HoldingWest3"		"<clr:238,180,34>Crash：西側，已準備完畢。"
"[english]crash.HoldingWest3"		"<clr:238,180,34>Crash: Westside, standing to."
"crash.GotPoint0"		"<clr:238,180,34>Crash：這裏是 Crash，我來看著這裏。"
"[english]crash.GotPoint0"		"<clr:238,180,34>Crash: Crash, taking point."
"crash.GotRear0"		"<clr:238,180,34>Crash：我來防守此處。"
"[english]crash.GotRear0"		"<clr:238,180,34>Crash: Crash taking rearguard."
"crash.GotRear1"		"<clr:238,180,34>Crash：我負責殿後。"
"[english]crash.GotRear1"		"<clr:238,180,34>Crash: I got your back."
"crash.RequestSealDoor0"		"<clr:238,180,34>Crash：抓緊，把門封上！"
"[english]crash.RequestSealDoor0"		"<clr:238,180,34>Crash: Quick, seal the door!"
"crash.RequestSealDoor1"		"<clr:238,180,34>Crash：把它焊死！我們可不想那些東西進來。"
"[english]crash.RequestSealDoor1"		"<clr:238,180,34>Crash: Seal it up! We don't want these things getting in here."
"crash.RequestSealDoor2"		"<clr:238,180,34>Crash：把這扇門封上。"
"[english]crash.RequestSealDoor2"		"<clr:238,180,34>Crash: Secure the door."
"crash.RequestCutDoor0"		"<clr:238,180,34>Crash：把門給切開。"
"[english]crash.RequestCutDoor0"		"<clr:238,180,34>Crash: Cut it open!"
"crash.RequestCutDoor1"		"<clr:238,180,34>Crash：妳還在等什麽？把它弄開！"
"[english]crash.RequestCutDoor1"		"<clr:238,180,34>Crash: What're you waiting for? Get it open!"
"crash.RequestShootDoor0"		"<clr:238,180,34>Crash：Oh yeah，把這扇門轟個稀巴爛！"
"[english]crash.RequestShootDoor0"		"<clr:238,180,34>Crash: Oh yeah, let's blast this door to hell!"
"crash.RequestShootDoor1"		"<clr:238,180,34>Crash：把它轟開！"
"[english]crash.RequestShootDoor1"		"<clr:238,180,34>Crash: Blast it open!"
"crash.RequestShootDoor2"		"<clr:238,180,34>Crash：用槍把它射倒！"
"[english]crash.RequestShootDoor2"		"<clr:238,180,34>Crash: Shoot it open!"
"crash.CuttingDoor0"		"<clr:238,180,34>Crash：Crash，正在切割大門。"
"[english]crash.CuttingDoor0"		"<clr:238,180,34>Crash: Crash, cuttin door."
"crash.CuttingDoor1"		"<clr:238,180,34>Crash：收到。開始焊切大門。"
"[english]crash.CuttingDoor1"		"<clr:238,180,34>Crash: Roger that. Cuttin door."
"crash.SealingDoor0"		"<clr:238,180,34>Crash：這裏是 Crash，我在焊接大門。"
"[english]crash.SealingDoor0"		"<clr:238,180,34>Crash: Crash, sealing door."
"crash.SealingDoor1"		"<clr:238,180,34>Crash：我會把這扇門給封個嚴嚴實實的。"
"[english]crash.SealingDoor1"		"<clr:238,180,34>Crash: Sealing door nice and tight."
"crash.Biomass0"		"<clr:238,180,34>Crash：一大群生物質體 -- 把它們都燒光！"
"[english]crash.Biomass0"		"<clr:238,180,34>Crash: Swarm biomass--burn it all!"
"crash.Biomass1"		"<clr:238,180,34>Crash：生物質體？拜托，我討厭這些玩意。"
"[english]crash.Biomass1"		"<clr:238,180,34>Crash: Biomass? Man, I hate this shit."
"crash.Biomass2"		"<clr:238,180,34>Crash：生物質體。話說這到底是什麽鬼東西？"
"[english]crash.Biomass2"		"<clr:238,180,34>Crash: Biocrap. What the hell is this stuff anyway?"
"crash.Biomass3"		"<clr:238,180,34>Crash：呃？生物質體。燒掉它！"
"[english]crash.Biomass3"		"<clr:238,180,34>Crash: Urgh, swarm biomass. Burn it!"
"crash.TimeToLeave0"		"<clr:238,180,34>Crash：該從這裏出去了。"
"[english]crash.TimeToLeave0"		"<clr:238,180,34>Crash: Let's get out of here."
"crash.TimeToLeave1"		"<clr:238,180,34>Crash：是時候出去了。"
"[english]crash.TimeToLeave1"		"<clr:238,180,34>Crash: Time to move on out."
"crash.TimeToLeave2"		"<clr:238,180,34>Crash：Woohoo! 是時候和這地方說再見了！"
"[english]crash.TimeToLeave2"		"<clr:238,180,34>Crash: Woohoo! Time to wave this place goodbye!"
"crash.WatchOut0"		"<clr:238,180,34>Crash：當心！"
"[english]crash.WatchOut0"		"<clr:238,180,34>Crash: Look out!"
"crash.WatchOut1"		"<clr:238,180,34>Crash：小心那裏！"
"[english]crash.WatchOut1"		"<clr:238,180,34>Crash: There!"
		"crash.WatchOut2"		"<clr:238,180,34>Crash: Watch out!"
		"[english]crash.WatchOut2"		"<clr:238,180,34>Crash: Watch out!"
		"crash.Shieldbug0"		"<clr:238,180,34>Crash: Holy Shit!"
		"[english]crash.Shieldbug0"		"<clr:238,180,34>Crash: Holy Shit!"
"crash.Shieldbug2"		"<clr:238,180,34>Crash：該死，一隻盾蟲！"
"[english]crash.Shieldbug2"		"<clr:238,180,34>Crash: Shit, a shieldbug!"
"crash.ShieldbugHint0"		"<clr:238,180,34>Crash：到它後面去！"
"[english]crash.ShieldbugHint0"		"<clr:238,180,34>Crash: Get behind it!"
"crash.ShieldbugHint1"		"<clr:238,180,34>Crash：攻擊它的背部！"
"[english]crash.ShieldbugHint1"		"<clr:238,180,34>Crash: Shoot it in the back!"
"crash.ShieldbugHint2"		"<clr:238,180,34>Crash：找個人用手雷把它炸了！"
"[english]crash.ShieldbugHint2"		"<clr:238,180,34>Crash: Someone grenade it!"
"crash.Parasite0"		"<clr:238,180,34>Crash：小心！寄生蟲！"
"[english]crash.Parasite0"		"<clr:238,180,34>Crash: Look out! Parasite!"
"crash.Parasite1"		"<clr:238,180,34>Crash：有寄生蟲！"
"[english]crash.Parasite1"		"<clr:238,180,34>Crash: Parasite!"
"crash.Parasite2"		"<clr:238,180,34>Crash：該死，有隻寄生蟲！"
"[english]crash.Parasite2"		"<clr:238,180,34>Crash: Shit, a parasite!"
"crash.BeenInfested0"		"<clr:238,180,34>Crash：把它從我身上趕走！"
"[english]crash.BeenInfested0"		"<clr:238,180,34>Crash: Get it off me!"
"crash.BeenInfested1"		"<clr:238,180,34>Crash：它在我身上！"
"[english]crash.BeenInfested1"		"<clr:238,180,34>Crash: It's on me!"
"crash.BeenInfested3"		"<clr:238,180,34>Crash：把它弄走，把它弄走！"
"[english]crash.BeenInfested3"		"<clr:238,180,34>Crash: Get it off, get it off!"
"crash.SwarmEggs0"		"<clr:238,180,34>Crash：異形蟲卵！"
"[english]crash.SwarmEggs0"		"<clr:238,180,34>Crash: Swarm eggs!"
"crash.SwarmEggs1"		"<clr:238,180,34>Crash：是異形蟲卵，各位小心點！"
"[english]crash.SwarmEggs1"		"<clr:238,180,34>Crash: Swarm eggs, watch yourself!"
"crash.SwarmEggs2"		"<clr:238,180,34>Crash：註意！是異形蟲卵！"
"[english]crash.SwarmEggs2"		"<clr:238,180,34>Crash: Watch out! Swarm eggs!"
"crash.Grenade0"		"<clr:238,180,34>Crash：都躲開點！"
"[english]crash.Grenade0"		"<clr:238,180,34>Crash: Clear!"
"crash.Grenade1"		"<clr:238,180,34>Crash：嘗嘗這個！"
"[english]crash.Grenade1"		"<clr:238,180,34>Crash: Eat this!"
"crash.Grenade2"		"<clr:238,180,34>Crash：當心手雷！"
"[english]crash.Grenade2"		"<clr:238,180,34>Crash: Fire in the hole!"
"crash.Grenade3"		"<clr:238,180,34>Crash：手雷！"
"[english]crash.Grenade3"		"<clr:238,180,34>Crash: Grenade!"
"crash.AlienTooClose0"		"<clr:238,180,34>Crash：把它弄走！"
"[english]crash.AlienTooClose0"		"<clr:238,180,34>Crash: Get it off!"
"crash.AlienTooClose1"		"<clr:238,180,34>Crash：我遇到蟲子了！"
"[english]crash.AlienTooClose1"		"<clr:238,180,34>Crash: Hostile on me!"
"crash.AlienTooClose2"		"<clr:238,180,34>Crash：殺了它！"
"[english]crash.AlienTooClose2"		"<clr:238,180,34>Crash: Kill it!"
"crash.AlienTooClose3"		"<clr:238,180,34>Crash：向我集中！"
"[english]crash.AlienTooClose3"		"<clr:238,180,34>Crash: On me!"
"crash.MadFiring0"		"<clr:238,180,34>Crash：盡管來吧。"
"[english]crash.MadFiring0"		"<clr:238,180,34>Crash: Come on."
"crash.MadFiring1"		"<clr:238,180,34>Crash：死吧，妳這些王八蛋！"
"[english]crash.MadFiring1"		"<clr:238,180,34>Crash: Die, you son of a bitch!"
"crash.MadFiring3"		"<clr:238,180,34>Crash：妳想嘗嘗看嗎？"
"[english]crash.MadFiring3"		"<clr:238,180,34>Crash: You want some?"
"crash.MadFiring4"		"<clr:238,180,34>Crash：妳想吃槍子嗎？"
"[english]crash.MadFiring4"		"<clr:238,180,34>Crash: You want some?"
"crash.BreachedDoor0"		"<clr:238,180,34>Crash：它們把門打破了！"
"[english]crash.BreachedDoor0"		"<clr:238,180,34>Crash: They breached the door!"
"crash.BreachedDoor1"		"<clr:238,180,34>Crash：它們把門弄倒了！"
"[english]crash.BreachedDoor1"		"<clr:238,180,34>Crash: They broke the door down!"
"crash.BreachedDoor2"		"<clr:238,180,34>Crash：它們把門給打破了！"
"[english]crash.BreachedDoor2"		"<clr:238,180,34>Crash: They're through the door!"
"crash.MarineDown0"		"<clr:238,180,34>Crash：有人倒下了！"
"[english]crash.MarineDown0"		"<clr:238,180,34>Crash: Marine down!"
"crash.MarineDown1"		"<clr:238,180,34>Crash：該死，不！"
"[english]crash.MarineDown1"		"<clr:238,180,34>Crash: Shit, no!"
"crash.SmallPain0"		"<clr:238,180,34>Crash: [痛苦的叫聲]"
"[english]crash.SmallPain0"		"<clr:238,180,34>Crash: [Pain]"
"crash.SmallPain1"		"<clr:238,180,34>Crash: [痛苦的叫聲]"
"[english]crash.SmallPain1"		"<clr:238,180,34>Crash: [Pain]"
"crash.SmallPain2"		"<clr:238,180,34>Crash: [痛苦的叫聲]"
"[english]crash.SmallPain2"		"<clr:238,180,34>Crash: [Pain]"
"crash.SmallPain3"		"<clr:238,180,34>Crash: [痛苦的叫聲]"
"[english]crash.SmallPain3"		"<clr:238,180,34>Crash: [Pain]"
"crash.LargePain0"		"<clr:238,180,34>Crash: [慘痛的叫聲]"
"[english]crash.LargePain0"		"<clr:238,180,34>Crash: [Pain]"
"crash.LargePain1"		"<clr:238,180,34>Crash: [慘痛的叫聲]"
"[english]crash.LargePain1"		"<clr:238,180,34>Crash: [Pain]"
