"lang"
{
"Language"	"tchinese"
"asw_current_campaign_vote_not_installed"	"新戰役： %s1 - 你沒有此附件"
"[english]asw_current_campaign_vote_not_installed"	"New Campaign: %s1 - YOU DO NOT HAVE THIS ADD-ON"
"asw_current_saved_vote"	"讀取已保存的遊戲： %s1"
"[english]asw_current_saved_vote"	"Load Saved Game: %s1"
"asw_vote_passed"	"投票通過！"
"[english]asw_vote_passed"	"Vote Passed!"
"asw_vote_failed"	"投票失敗。"
"[english]asw_vote_failed"	"Vote failed."
"asw_yes_votes"	"贊成票： %s1"
"[english]asw_yes_votes"	"YES votes: %s1"
"asw_no_votes"	"反對票： %s1"
"[english]asw_no_votes"	"NO votes: %s1"
"asw_you_voted_no"	"您投了：反對"
"[english]asw_you_voted_no"	"You voted: NO"
"asw_you_voted_yes"	"您投了：贊成"
"[english]asw_you_voted_yes"	"You voted: YES"
"asw_started_kick_vote"	"%s1 希望 %s2 被踢掉。"
"[english]asw_started_kick_vote"	"%s1 wants %s2 to be kicked."
"asw_started_leader_vote"	"%s1 希望 %s2 成爲房主。"
"[english]asw_started_leader_vote"	"%s1 wants %s2 to be leader."
"asw_time_left"	"剩余時間：%s1"
"[english]asw_time_left"	"Time left: %s1"
"asw_mission_launch_in"	"距任務啓動還有: %s1"
"[english]asw_mission_launch_in"	"Mission Launch in: %s1"
"ASW_GameUI_Controller"	"控制器"
"[english]ASW_GameUI_Controller"	"Controller"
"ASW_GameUI_Axes"	"軸"
"[english]ASW_GameUI_Axes"	"Axes"
"ASW_GameUI_Buttons"	"按鍵"
"[english]ASW_GameUI_Buttons"	"Buttons"
"ASW_GameUI_KeyButton"	"鍵盤/鼠標按鍵"
"[english]ASW_GameUI_KeyButton"	"KEY/MOUSE BUTTON"
"ASW_GameUI_ControllerButton"	"控制器按鍵"
"[english]ASW_GameUI_ControllerButton"	"CONTROLLER BUTTON"
"ASW_GameUI_SetNewButton"	"編輯按鍵"
"[english]ASW_GameUI_SetNewButton"	"Edit button"
"ASW_GameUI_ClearButton"	"清除按鍵"
"[english]ASW_GameUI_ClearButton"	"Clear button"
"ASW_GameUI_SetNewAxis"	"編輯軸"
"[english]ASW_GameUI_SetNewAxis"	"Edit axis"
"ASW_GameUI_ClearAxis"	"清除軸"
"[english]ASW_GameUI_ClearAxis"	"Clear axis"
"ASW_GameUI_EnableController"	"啓用控制器"
"[english]ASW_GameUI_EnableController"	"Enable controller"
"ASW_GameUI_AimToMovement"	"指向移動方向"
"[english]ASW_GameUI_AimToMovement"	"Aim in direction of movement"
"ASW_GameUI_CrossLayout"	"十字形縱向布局"
"[english]ASW_GameUI_CrossLayout"	"Cross-shaped portrait layout"
"ASW_GameUI_AxesAction"	"動作"
"[english]ASW_GameUI_AxesAction"	"ACTION"
"ASW_GameUI_ControllerAxis"	"軸"
"[english]ASW_GameUI_ControllerAxis"	"AXIS"
"ASW_GameUI_MoveForward"	"向北移動"
"[english]ASW_GameUI_MoveForward"	"Move north"
"ASW_GameUI_MoveBack"	"向南移動"
"[english]ASW_GameUI_MoveBack"	"Move south"
"ASW_GameUI_MoveLeft"	"向西移動"
"[english]ASW_GameUI_MoveLeft"	"Move west"
"ASW_GameUI_MoveRight"	"向東移動"
"[english]ASW_GameUI_MoveRight"	"Move east"
"ASW_GameUI_MoveForwardBack"	"前/後移動"
"[english]ASW_GameUI_MoveForwardBack"	"Move forward/back"
"ASW_GameUI_MoveLeftRight"	"左/右移動"
"[english]ASW_GameUI_MoveLeftRight"	"Move left/right"
"ASW_GameUI_MoveRoll"	"翻滾"
"[english]ASW_GameUI_MoveRoll"	"Roll"
"ASW_GameUI_AimUpDown"	"朝向前/後"
"[english]ASW_GameUI_AimUpDown"	"Aim forward/back"
"ASW_GameUI_AimLeftRight"	"朝向左/右"
"[english]ASW_GameUI_AimLeftRight"	"Aim left/right"
"ASW_GameUI_AxisX"	"X軸"
"[english]ASW_GameUI_AxisX"	"X-axis"
"ASW_GameUI_AxisY"	"Y軸"
"[english]ASW_GameUI_AxisY"	"Y-axis"
"ASW_GameUI_AxisZ"	"Z軸"
"[english]ASW_GameUI_AxisZ"	"Z-axis"
"ASW_GameUI_AxisR"	"R軸"
"[english]ASW_GameUI_AxisR"	"R-axis"
"ASW_GameUI_AxisU"	"U軸"
"[english]ASW_GameUI_AxisU"	"U-axis"
"ASW_GameUI_AxisV"	"V軸"
"[english]ASW_GameUI_AxisV"	"V-axis"
"ASW_GameUI_NoThanks"	"不，謝謝"
"[english]ASW_GameUI_NoThanks"	"No thanks"
"ASW_Marines_Title"	"小隊"
"[english]ASW_Marines_Title"	"SQUAD"
"ASW_Alternates"	"候補"
"[english]ASW_Alternates"	"ALTERNATES"
"ASW_GameUI_ControllerRecog"	"控制器已識別"
"[english]ASW_GameUI_ControllerRecog"	"Controller Recognized"
"ASW_GameUI_XBCDRecog"	"XBCD XBox 手柄\n\n您是否想爲此控制器設置默認的搖杆與按鍵？\n\n注意：只有當您設置正確後，這個手柄才能使用\n在XBCD控制面板中將搖杆的上/下軸設置成RZ-/RZ+ 。"
"[english]ASW_GameUI_XBCDRecog"	"XBCD XBox Gamepad\n\nWould you like to setup default axes and buttons for this controller?\n\nNOTE: This controller is only supported if you set the right\nanalogue stick's up/down axis to RZ-/RZ+ in the XBCD Control Panel."
"asw_camera_style"	"攝像機風格"
"[english]asw_camera_style"	"Camera Style"
"asw_camera_tilted"	"傾斜視角"
"[english]asw_camera_tilted"	"Tilted"
"asw_camera_topdown"	"衛星視角"
"[english]asw_camera_topdown"	"Top-down"
"asw_tracer_style"	"顯示風格"
"[english]asw_tracer_style"	"Tracer Style"
"asw_tracer_none"	"不顯示蹤迹"
"[english]asw_tracer_none"	"No tracers"
"asw_tracer_standard"	"顯示標准蹤迹"
"[english]asw_tracer_standard"	"Standard tracers"
"asw_tracer_line"	"顯示線性蹤迹"
"[english]asw_tracer_line"	"Line tracers"
"asw_playerlist"	"玩家名單/投票面板"
"[english]asw_playerlist"	"Player list/Vote panel"
"asw_select_marine_1"	"選擇士兵 1"
"[english]asw_select_marine_1"	"Select marine 1"
"asw_select_marine_2"	"選擇士兵 2"
"[english]asw_select_marine_2"	"Select marine 2"
"asw_select_marine_3"	"選擇士兵 3"
"[english]asw_select_marine_3"	"Select marine 3"
"asw_select_marine_4"	"選擇士兵 4"
"[english]asw_select_marine_4"	"Select marine 4"
"asw_next_marine"	"選擇下一名士兵"
"[english]asw_next_marine"	"Select next marine"
"asw_prev_marine"	"選擇上一名士兵"
"[english]asw_prev_marine"	"Select previous marine"
"asw_melee_attack"	"肉搏攻擊"
"[english]asw_melee_attack"	"Melee attack"
"asw_activate_extra"	"使用備用物品 (電焊工具、信號火炬等等)"
"[english]asw_activate_extra"	"Use offhand item (welder, flares, etc.)"
"asw_switch_primary_secondary"	"切換武器"
"[english]asw_switch_primary_secondary"	"Switch weapon"
"asw_use"	"使用/訪問 (按鈕、電腦等等)"
"[english]asw_use"	"Use/Interact (buttons, computers, etc.)"
"asw_order_marines_hold"	"原地待命"
"[english]asw_order_marines_hold"	"Order hold position"
"asw_order_marines_follow"	"命令跟從"
"[english]asw_order_marines_follow"	"Order follow"
"asw_order_specific_marine"	"命令特定的士兵"
"[english]asw_order_specific_marine"	"Order specific marine"
"asw_order_marine_1_equip"	"使用小隊裝備 1"
"[english]asw_order_marine_1_equip"	"Use Squad Equipment 1"
"asw_order_marine_2_equip"	"使用小隊裝備 2"
"[english]asw_order_marine_2_equip"	"Use Squad Equipment 2"
"asw_order_marine_3_equip"	"使用小隊裝備 3"
"[english]asw_order_marine_3_equip"	"Use Squad Equipment 3"
"asw_order_marine_4_equip"	"使用小隊裝備 4"
"[english]asw_order_marine_4_equip"	"Use Squad Equipment 4"
"asw_emote_medic"	"請求醫生!"
"[english]asw_emote_medic"	"Emote medic!"
"asw_emote_ammo"	"請求彈藥!"
"[english]asw_emote_ammo"	"Emote ammo!"
"asw_emote_smile"	"展示笑容"
"[english]asw_emote_smile"	"Emote smile"
"asw_emote_watch_out"	"提醒隊友注意!"
"[english]asw_emote_watch_out"	"Emote watch out!"
"asw_emote_anime"	"展示動畫笑容"
"[english]asw_emote_anime"	"Emote anime smile"
"asw_emote_question"	"表示疑問"
"[english]asw_emote_question"	"Emote question"
"asw_drop"	"丟下當前武器"
"[english]asw_drop"	"Drop current weapon"
"asw_select_mission"	"選擇下一個任務"
"[english]asw_select_mission"	"SELECT NEXT MISSION"
"asw_select_pref_mission"	"選擇首選任務"
"[english]asw_select_pref_mission"	"SELECT PREFERRED MISSION"
"asw_force_launch"	"強制開始"
"[english]asw_force_launch"	"Force Launch"
"asw_commanders"	"指揮官"
"[english]asw_commanders"	"Commanders"
"asw_current_location"	"當前位置:"
"[english]asw_current_location"	"Current Location:"
"asw_campaign_waiting"	"等待中"
"[english]asw_campaign_waiting"	"WAITING"
"asw_threat_level"	"%s1\n\n威脅級別：%s2"
"[english]asw_threat_level"	"%s1\n\nThreat Level: %s2"
"asw_campaign_ready"	"確定"
"[english]asw_campaign_ready"	"OK"
"asw_toggle_console"	"切換控制台"
"[english]asw_toggle_console"	"Toggle Console"
"asw_ammo_bag_exploded"	"%s1 的彈藥包因過熱而爆炸了！"
"[english]asw_ammo_bag_exploded"	"%s1's ammo bag overheats and explodes!"
"asw_team_killed"	"%s1 被 %s2 殺死了。"
"[english]asw_team_killed"	"%s1 was killed by %s2."
"asw_suicide_male"	"%s1 殺死了他自己。"
"[english]asw_suicide_male"	"%s1 killed himself."
"asw_suicide_female"	"%s1 殺死了她自己。"
"[english]asw_suicide_female"	"%s1 killed herself."
"asw_out_of_ammo"	"%s1 沒有子彈了。"
"[english]asw_out_of_ammo"	"%s1 is out of ammo."
"asw_comms"	"通訊"
"[english]asw_comms"	" Comms. "
"asw_comms_menu"	"通訊菜單"
"[english]asw_comms_menu"	"Comms. Menu"
"asw_speech_menu"	"%s1. %s2"
"[english]asw_speech_menu"	"%s1. %s2"
"asw_speech_watchout"	"當心！"
"[english]asw_speech_watchout"	"Watch out!"
"asw_speech_parasite"	"寄生蟲！"
"[english]asw_speech_parasite"	"Parasite!"
"asw_speech_question"	"什麽？"
"[english]asw_speech_question"	"What?"
"asw_speech_thanks"	"感謝"
"[english]asw_speech_thanks"	"Thanks"
"asw_speech_medic"	"醫生！"
"[english]asw_speech_medic"	"Medic!"
"asw_speech_needammo"	"需要彈藥！"
"[english]asw_speech_needammo"	"Need ammo!"
"asw_speech_stim"	"使用腎上腺素！"
"[english]asw_speech_stim"	"Adrenaline now!"
"asw_speech_positioning"	"正在就位..."
"[english]asw_speech_positioning"	"Positioning..."
"asw_speech_doors"	"大門..."
"[english]asw_speech_doors"	"Doors..."
"asw_speech_more"	"更多..."
"[english]asw_speech_more"	"More..."
"asw_speech_point"	"搜查這裏"
"[english]asw_speech_point"	"Taking point"
"asw_speech_rear"	"殿後"
"[english]asw_speech_rear"	"Rear guard"
"asw_speech_holding"	"守著這裏"
"[english]asw_speech_holding"	"Holding position"
"asw_speech_north"	"防守北面"
"[english]asw_speech_north"	"Covering north"
"asw_speech_south"	"防守南面"
"[english]asw_speech_south"	"Covering south"
"asw_speech_east"	"防守東面"
"[english]asw_speech_east"	"Covering east"
"asw_speech_west"	"防守西面"
"[english]asw_speech_west"	"Covering west"
"asw_speech_hold"	"守著這裏"
"[english]asw_speech_hold"	"Hold position"
"asw_speech_go"	"跟著我"
"[english]asw_speech_go"	"Follow me"
"asw_speech_back"	"後退..."
"[english]asw_speech_back"	"Back..."
"asw_speech_rcut"	"請求切割大門"
"[english]asw_speech_rcut"	"Request cut"
"asw_speech_rseal"	"請求焊接大門"
"[english]asw_speech_rseal"	"Request seal"
"asw_speech_rshoot"	"請求射擊大門"
"[english]asw_speech_rshoot"	"Request shoot"
"asw_speech_cut"	"正在切割大門"
"[english]asw_speech_cut"	"Cutting door"
"asw_speech_seal"	"正在焊接大門"
"[english]asw_speech_seal"	"Sealing door"
"asw_speech_medkit"	"醫藥包。"
"[english]asw_speech_medkit"	"Medkit."
"asw_speech_ammo"	"彈藥。"
"[english]asw_speech_ammo"	"Ammo."
"asw_speech_careful"	"當心"
"[english]asw_speech_careful"	"Be careful"
"asw_speech_ready"	"准備好了嗎？"
"[english]asw_speech_ready"	"Ready?"
"asw_speech_smile"	"*笑臉*"
"[english]asw_speech_smile"	"*smile*"
"asw_speech_zing"	"警告！"
"[english]asw_speech_zing"	"Zing!"
"asw_speech_signs"	"感染狀態"
"[english]asw_speech_signs"	"Signs of infestation"
"asw_speech_form"	"隊友們，列隊"
"[english]asw_speech_form"	"Squad, form up"
"asw_speech_positions"	"士兵們，就定位"
"[english]asw_speech_positions"	"Marines, into positions"
"asw_speech_mouth"	"說話注意點，士兵"
"[english]asw_speech_mouth"	"Watch your mouth, marine"
"asw_speech_secure_that"	"你去查看那玩意"
"[english]asw_speech_secure_that"	"You secure that shit"
"asw_speech_drink"	"我得喝一杯"
"[english]asw_speech_drink"	"I need a drink"
"asw_speech_looks_good"	"看起來不錯"
"[english]asw_speech_looks_good"	"Looks good"
"asw_speech_stay_sharps"	"打起精神來，快走"
"[english]asw_speech_stay_sharps"	"Stay sharp, look alive"
"asw_speech_love_job"	"我愛這個工作"
"[english]asw_speech_love_job"	"I love this job"
"asw_speech_fine_day"	"在星際武裝部隊中的又一個好日子"
"[english]asw_speech_fine_day"	"Another fine day in the IAF"
"asw_speech_picnic"	"不是來野餐的"
"[english]asw_speech_picnic"	"Not a picnic"
"asw_speech_spacing"	"注意彼此間的距離，隊員們"
"[english]asw_speech_spacing"	"Watch your spacing team"
"asw_speech_so_far"	"到目前爲止，一切都很好"
"[english]asw_speech_so_far"	"So far, so good"
"asw_speech_holy"	"我的天呀！"
"[english]asw_speech_holy"	"Holy shit!"
"asw_speech_eat"	"嘗嘗這個！"
"[english]asw_speech_eat"	"Eat this!"
"asw_speech_paychecks"	"是時候去掙工資了"
"[english]asw_speech_paychecks"	"Time to earn those paychecks"
"asw_speech_corners"	"檢查附近有沒有敵人"
"[english]asw_speech_corners"	"Check your corners"
"asw_speech_squads"	"繼續前進，夥計們"
"[english]asw_speech_squads"	"Proceed by squads"
"asw_speech_book"	"讓我們按常理來做件事"
"[english]asw_speech_book"	"Let's do this by the book"
"asw_speech_like_hear"	"那就是我想聽到的"
"[english]asw_speech_like_hear"	"That's what I like to hear"
"asw_speech_damn_fine"	"真他媽漂亮，士兵"
"[english]asw_speech_damn_fine"	"Damn fine work, marine"
"asw_speech_pull"	"我該回去並重新對此進行評估"
"[english]asw_speech_pull"	"We should pull back, reassess this"
"asw_speech_tough"	"這真困難"
"[english]asw_speech_tough"	"This is tough"
"asw_speech_got_backs"	"我幫你看著身後"
"[english]asw_speech_got_backs"	"I've got your back"
"asw_speech_never_thought"	"從沒想過會這樣結束"
"[english]asw_speech_never_thought"	"Never thought it would end like this"
"asw_speech_bad_feeling"	"我對這裏有種不好的預感"
"[english]asw_speech_bad_feeling"	"I've got a bad feeling about this place"
"asw_speech_no_trouble"	"沒有任何害蟲問題"
"[english]asw_speech_no_trouble"	"Cure bug trouble"
"asw_speech_run_smokes"	"快離開這裏"
"[english]asw_speech_run_smokes"	"Outta smokes"
"asw_speech_set_fire"	"把殖民區整個燒掉"
"[english]asw_speech_set_fire"	"Set fire to the colony"
"asw_speech_sharp_prisoners"	"提高警惕，夥計們"
"[english]asw_speech_sharp_prisoners"	"Stay sharp people"
"asw_speech_another_day"	"這只是軍旅生活中的一天"
"[english]asw_speech_another_day"	"Just another day in the corp"
"asw_speech_vacation"	"我需要去休假"
"[english]asw_speech_vacation"	"I need a vacation"
"asw_speech_hungry"	"再飽的士兵也會餓"
"[english]asw_speech_hungry"	"This makes a marine hungry"
"asw_speech_rock_roll"	"來狂歡吧！"
"[english]asw_speech_rock_roll"	"Rock and roll!"
"asw_speech_want_some"	"你想來點嗎？"
"[english]asw_speech_want_some"	"You want some?"
"asw_speech_spirit"	"就是這種氣勢！"
"[english]asw_speech_spirit"	"That's the spirit!"
"asw_speech_breathing"	"你們還有呼吸嗎?"
"[english]asw_speech_breathing"	"You guys still breathing?"
"asw_speech_t75"	"T75 炸藥"
"[english]asw_speech_t75"	"T75 explosives"
"asw_speech_party"	"讓這個派對開始吧"
"[english]asw_speech_party"	"Let's get this party started"
"asw_speech_peace"	"和平需要以強大的火力來維持"
"[english]asw_speech_peace"	"Peace through superior firepower"
"asw_speech_dares_wins"	"愛拼才會贏"
"[english]asw_speech_dares_wins"	"Who dares wins"
"asw_speech_cooling_heels"	"難道我們不去殺蟲嗎？"
"[english]asw_speech_cooling_heels"	"Shouldn't we be wasting bugs?"
"asw_speech_anytime_anywhere"	"隨時隨地"
"[english]asw_speech_anytime_anywhere"	"Anytime, anywhere"
"asw_speech_theyll_pay"	"它們會爲此付出代價"
"[english]asw_speech_theyll_pay"	"They'll pay for this"
"asw_speech_hell_out"	"是時候撤離了"
"[english]asw_speech_hell_out"	"Time to get the hell out"
"asw_speech_payback"	"惡有惡報"
"[english]asw_speech_payback"	"Payback's a bitch"
"asw_speech_nice_job"	"幹得好"
"[english]asw_speech_nice_job"	"Nice job"
"asw_speech_meow"	"喵"
"[english]asw_speech_meow"	"Meow"
"asw_speech_hell_yeah"	"太棒了！"
"[english]asw_speech_hell_yeah"	"Hell yeah!"
"asw_speech_taking_long"	"爲什麽要那麽久？"
"[english]asw_speech_taking_long"	"What's taking so long?"
"asw_speech_christ_man"	"拜托，別這樣"
"[english]asw_speech_christ_man"	"Christ, man"
"asw_speech_lock_load"	"裝彈完畢"
"[english]asw_speech_lock_load"	"Locked and loaded"
"asw_speech_time_bleed"	"沒時間流血了"
"[english]asw_speech_time_bleed"	"Ain't got time to bleed"
"asw_speech_all_over"	"可把它們打殘了"
"[english]asw_speech_all_over"	"Hit em where it hurts the most"
"asw_speech_alright"	"哈哈，好的！"
"[english]asw_speech_alright"	"Haha, alright!"
"asw_speech_smell_bugs"	"我聞到了蟲子的味道"
"[english]asw_speech_smell_bugs"	"I smell bugs"
"asw_speech_collateral"	"具有殺傷性的玩意"
"[english]asw_speech_collateral"	"Collateral damage"
"asw_speech_scores_settle"	"我有幾筆舊帳得算"
"[english]asw_speech_scores_settle"	"I got some scores to settle"
"asw_speech_good_bug"	"唯一的好蟲子就是死掉的蟲子"
"[english]asw_speech_good_bug"	"The only good bug is a dead bug"
"asw_speech_dont_hurt"	"不中它們就傷不了它們"
"[english]asw_speech_dont_hurt"	"Don't hurt em if you don't hit em"
"asw_speech_one_way"	"只有一個辦法能解決這些"
"[english]asw_speech_one_way"	"Only one way to solve this"
"asw_speech_more_fun"	"越來越有趣了"
"[english]asw_speech_more_fun"	"More fun by the minute"
"asw_speech_wait_day"	"別讓我一直等你"
"[english]asw_speech_wait_day"	"Don't make me wait all day"
"asw_speech_nice_shootin"	"射得好，孩子"
"[english]asw_speech_nice_shootin"	"Nice shootin' kid"
"asw_speech_save_life"	"你救了我一命"
"[english]asw_speech_save_life"	"You saved my life"
"asw_speech_challenge"	"那聽起來挺有挑戰性"
"[english]asw_speech_challenge"	"That sounds like a challenge"
"asw_speech_trick"	"那是個腦筋急轉彎嗎？"
"[english]asw_speech_trick"	"Is that a trick question?"
"asw_speech_kidding"	"你在耍我嗎？"
"[english]asw_speech_kidding"	"You're kidding me?"
"asw_speech_what_need"	"你需要什麽？"
"[english]asw_speech_what_need"	"What do you need?"
"asw_speech_be_careful"	"下次小心點，好嗎？"
"[english]asw_speech_be_careful"	"Let's be careful ok?"
"asw_speech_excellent"	"棒極了"
"[english]asw_speech_excellent"	"Excellent"
"asw_speech_absolutely"	"完全了解"
"[english]asw_speech_absolutely"	"Absolutely"
"asw_speech_too_quiet"	"這條路太安靜了"
"[english]asw_speech_too_quiet"	"It's way too quiet"
"asw_speech_nightmare"	"這一切看起來就像是一場可怕的噩夢"
"[english]asw_speech_nightmare"	"This seems like a horrible nightmare"
"asw_speech_pull_through"	"我希望我們繼續推進"
"[english]asw_speech_pull_through"	"I hope we pull through"
"asw_speech_isnt_secure"	"這地方不安全"
"[english]asw_speech_isnt_secure"	"This place isn't secure"
"asw_speech_down_here"	"我可不喜歡這下面"
"[english]asw_speech_down_here"	"I don't like it down here"
"asw_speech_wait_hear"	"等等，我聽到了些東西"
"[english]asw_speech_wait_hear"	"Wait! I hear something"
"asw_speech_kill_you"	"我要把你們都宰了！"
"[english]asw_speech_kill_you"	"I'll kill you all!"
"asw_speech_oom"	"沒有藥了"
"[english]asw_speech_oom"	"Out of meds"
"asw_speech_love_harm"	"看來你挺喜歡與危險打交道"
"[english]asw_speech_love_harm"	"You love getting in harm's way"
"asw_speech_good_thinking"	"好主意"
"[english]asw_speech_good_thinking"	"Good thinking"
"asw_speech_immediatement"	"立即執行"
"[english]asw_speech_immediatement"	"Immediatement"
"asw_speech_careful_anywhere"	"小心點，它們可能無處不在"
"[english]asw_speech_careful_anywhere"	"Careful, they could be anywhere"
"asw_speech_stim_packs"	"腎上腺素才不會讓人上瘾"
"[english]asw_speech_stim_packs"	"Adrenaline isn't that addictive"
"asw_speech_send_hell"	"把這些混蛋都送到地獄去吧"
"[english]asw_speech_send_hell"	"Send these bastards straight to hell"
"asw_speech_how_many"	"這地方到底還有多少蟲子？"
"[english]asw_speech_how_many"	"Just how many more bugs are there?"
"asw_speech_stay_sharp"	"保持最佳狀態，我的朋友們"
"[english]asw_speech_stay_sharp"	"Stay sharp mes ami"
"asw_speech_what_was"	"剛才的是什麽？"
"[english]asw_speech_what_was"	"What was that?"
"asw_speech_hearing_things"	"好極了，現在我聽到某些東西了"
"[english]asw_speech_hearing_things"	"Great, now I'm hearing things"
"asw_speech_exit"	"是時候離開了"
"[english]asw_speech_exit"	"Time to make an exit"
"asw_speech_alien_scum"	"嘗嘗這個，異形敗類！"
"[english]asw_speech_alien_scum"	"Eat this alien scum!"
"asw_speech_should_dead"	"你本應該死了，但是你沒有"
"[english]asw_speech_should_dead"	"You should be dead, but you're not"
"asw_speech_youll_live"	"你應該能活下來"
"[english]asw_speech_youll_live"	"You'll live, probably"
"asw_speech_should_help"	"這肯定管用"
"[english]asw_speech_should_help"	"That should help"
"asw_speech_kill_ami"	"打得漂亮，我的朋友"
"[english]asw_speech_kill_ami"	"Good kill mon ami"
"asw_speech_annoying"	"你開始讓人覺得討厭了"
"[english]asw_speech_annoying"	"You're starting to be annoying"
"asw_speech_closer"	"它們越來越近了！"
"[english]asw_speech_closer"	"They're getting closer!"
"asw_speech_breakdown"	"神經衰弱"
"[english]asw_speech_breakdown"	"Nervous breakdown"
"asw_speech_why_close"	"你幹嗎要靠那麽近？"
"[english]asw_speech_why_close"	"Why do you get so close?"
"asw_speech_saving"	"我留著它們以防你到時候真的受傷"
"[english]asw_speech_saving"	"I'm saving them for when you get really hurt"
"asw_speech_off_mission"	"下個任務你可以休息了"
"[english]asw_speech_off_mission"	"You're off the next mission"
"asw_speech_alright_say_so"	"好吧，你說的算"
"[english]asw_speech_alright_say_so"	"Alright, if you say so"
"asw_speech_ready_get"	"我准備好幹活了"
"[english]asw_speech_ready_get"	"I'm ready to get it on"
"asw_speech_get_fuck"	"我們快他媽的離開這裏吧！"
"[english]asw_speech_get_fuck"	"Let's get the fuck outta here!"
"asw_speech_got_skills"	"我有能力應付"
"[english]asw_speech_got_skills"	"I got the skills"
"asw_speech_shoulda_stolen"	"早知道要忍受這玩意，我就多偷些錢出來"
"[english]asw_speech_shoulda_stolen"	"I shoulda stolen more money to put up with this shit"
"asw_speech_guys_lucky"	"你們很幸運，因爲我在這裏"
"[english]asw_speech_guys_lucky"	"You guys are lucky that I'm here"
"asw_speech_like_to_see"	"噢，太好了，這就是我想看到了"
"[english]asw_speech_like_to_see"	"Oh yeah! That's what I like to see"
"asw_speech_want_some_of"	"你想來點嗎？"
"[english]asw_speech_want_some_of"	"You want some?"
"asw_speech_time_magic"	"該是我表演魔術的時候了"
"[english]asw_speech_time_magic"	"Time for me to work my magic"
"asw_speech_got_back"	"你會掩護我的，是嗎？"
"[english]asw_speech_got_back"	"You got my back, right?"
"asw_speech_who_man"	"Oh yeah，看看誰才是老大？"
"[english]asw_speech_who_man"	"Oh yeah, who's the man?"
"asw_speech_smooth"	"漂亮"
"[english]asw_speech_smooth"	"Smooth"
"asw_speech_cant_stand"	"我無法在這裏多待一會了"
"[english]asw_speech_cant_stand"	"I can't stand this place much longer"
"asw_speech_anyone_idea"	"有誰知道我們究竟在這幹嘛?"
"[english]asw_speech_anyone_idea"	"Does anyone have any idea what we are doing here?"
"asw_speech_no_problem"	"沒問題"
"[english]asw_speech_no_problem"	"No problem"
"asw_speech_place_action"	"Wow，這地方已經被鬧個底朝天了"
"[english]asw_speech_place_action"	"Wow, this place has seen some action"
"asw_speech_got_job"	"有好工作給我做嗎？"
"[english]asw_speech_got_job"	"Got a job for me?"
"asw_speech_bad_idea"	"那可是個壞主意"
"[english]asw_speech_bad_idea"	"This was a bad idea"
"asw_speech_calm_storm"	"啊，暴風雨前的平靜"
"[english]asw_speech_calm_storm"	"Ah, that calm before the storm"
"asw_speech_surrounded"	"我覺得我們被包圍了"
"[english]asw_speech_surrounded"	"I think we're surrounded"
"asw_speech_grim"	"事情好像變糟糕了"
"[english]asw_speech_grim"	"Things are looking grim"
"asw_speech_places_hide"	"這下面還有很多地方"
"[english]asw_speech_places_hide"	"Lots of places to hide down here"
"asw_speech_followed"	"是我的聲音，還是我們被跟蹤了？"
"[english]asw_speech_followed"	"Is it just me, or are we being followed?"
"asw_speech_company"	"敵人來襲！"
"[english]asw_speech_company"	"We got company!"
"asw_speech_corp_net"	"一點也不像是在入侵公司網絡"
"[english]asw_speech_corp_net"	"Nothing like breaking into a corporate network"
"asw_speech_nice_work"	"幹的漂亮"
"[english]asw_speech_nice_work"	"Nice work"
"asw_speech_looks_clear"	"看起來很安全"
"[english]asw_speech_looks_clear"	"Looks clear"
"asw_speech_dont_worry"	"用不著擔心我"
"[english]asw_speech_dont_worry"	"Don't worry about me"
"asw_speech_little_game"	"想玩個小遊戲嗎？"
"[english]asw_speech_little_game"	"Wanna play a little game?"
"asw_speech_ace_sleeve"	"我的袖子裏還塞著張黑桃A"
"[english]asw_speech_ace_sleeve"	"I still got an ace up my sleeve"
"asw_speech_on_it"	"我來搞定它"
"[english]asw_speech_on_it"	"I'm on it"
"asw_speech_4_to_1"	"4比1，呃？我更喜歡舊的那個"
"[english]asw_speech_4_to_1"	"4 to 1 eh? I like these odds"
"asw_speech_deck_cards"	"有誰帶了副撲克片嗎？"
"[english]asw_speech_deck_cards"	"Anyone got a deck o' cards?"
"asw_speech_tequila"	"誰想來點龍舌蘭酒？"
"[english]asw_speech_tequila"	"Who's up for some Tequila?"
"asw_speech_worst_come"	"我會說最壞的還沒來但一定會來的"
"[english]asw_speech_worst_come"	"I'd say the worst is yet to come"
"asw_speech_roll_dice"	"是時候下注了"
"[english]asw_speech_roll_dice"	"Time to roll the dice"
"asw_speech_sweet_tequila"	"可愛的龍舌蘭酒，我來了！"
"[english]asw_speech_sweet_tequila"	"Sweet Tequila, here I come!"
"asw_speech_madre_dios"	"我的媽呀！"
"[english]asw_speech_madre_dios"	"Madre de dios!"
"asw_speech_play_rough"	"哦，你想來硬的嗎？"
"[english]asw_speech_play_rough"	"Oh, you wanna play rough?"
"asw_speech_muchachos"	"永別了，小子們"
"[english]asw_speech_muchachos"	"Adios muchachos"
"asw_speech_fuck_with_me"	"你他媽的要跟我玩是嗎？"
"[english]asw_speech_fuck_with_me"	"You wanna fuck with me?"
"asw_speech_finally_time"	"總算有值得我去花時間的東西了"
"[english]asw_speech_finally_time"	"Finally something worth my time"
"asw_speech_back_ok"	"幫我看著背後，行不？"
"[english]asw_speech_back_ok"	"Watch my back ok?"
